orderday,order_id,delivery_deviation,median_delivery_handover_min_same_location,vehicle_type,is_pooled,has_alcohol,is_new_courier,is_large_order,delivery_handover_min
2025-11-02,778843,3.74,3.8542,BIKE,0,0,1,0,6.43
2025-10-06,672843,2.04,3.8346,BIKE,0,0,0,0,2.63
2025-10-10,356508,4.67,3.4078,CAR,0,0,0,0,6.79
2025-10-28,903591,3.72,5.8441,CAR,1,0,0,0,8.29
2025-11-27,996942,4.87,5.2636,CAR,0,0,0,0,9.12
2025-10-12,206530,3.79,2.9758,BIKE,0,0,1,0,3.81
2025-10-04,704365,12.28,1.7355,BIKE,0,0,0,0,22.73
2025-11-18,922352,5.36,3.397,BIKE,1,0,1,0,6.52
2025-10-25,560337,2.37,2.1696,BIKE,0,0,0,0,2.66
2025-10-07,824839,4.32,3.5136,CAR,0,0,1,0,13.96
2025-11-07,905889,2.72,2.2454,BIKE,0,0,1,0,5.16
2025-10-20,559773,3.58,5.5336,CAR,0,0,0,0,6.41
2025-11-24,308261,2.57,4.5032,MOPED,0,0,0,0,3.72
2025-10-23,441097,2.87,5.1821,BIKE,0,0,0,0,6.57
2025-11-28,415139,5.72,4.0396,MOPED,0,0,0,0,8.83
2025-10-08,271829,3.45,4.2806,CAR,0,0,0,0,5.6
2025-11-10,371836,2.27,5.8923,CAR,1,0,0,0,7.52
2025-11-27,538974,4.48,3.3044,CAR,1,0,0,0,4.69
2025-10-17,302283,4.95,4.3738,BIKE,0,0,0,0,6.04
2025-10-29,296769,5.36,2.2676,BIKE,0,0,1,0,6.53
2025-11-17,661353,1.09,3.5896,BIKE,0,0,1,1,6.03
2025-11-04,323165,2.19,7.8267,BIKE,0,0,1,0,9.05
2025-11-23,723587,6.55,4.7227,BIKE,1,1,0,0,20.01
2025-11-22,635822,2.56,3.3675,BIKE,0,0,0,0,4.21
2025-10-26,587879,4.49,3.8519,CAR,1,0,0,0,5.98
2025-11-26,664685,2.16,3.4535,BIKE,1,0,1,0,6.51
2025-10-10,882038,5.85,3.8043,BIKE,0,0,1,0,9.32
2025-10-11,453531,6.46,2.9761,BIKE,0,0,0,0,6.75
2025-10-15,363160,5.85,4.199,BIKE,0,0,0,1,9.4
2025-10-18,679879,6.8,4.2545,BIKE,0,0,0,0,10.61
2025-10-04,320884,8.86,3.4906,CAR,1,0,0,0,16.6
2025-10-27,123247,2.25,3.674,CAR,0,0,0,0,4.04
2025-11-14,124300,2.73,3.9641,BIKE,0,0,0,0,3.1
2025-10-05,567281,6.35,2.826,BIKE,1,0,0,0,7.65
2025-10-06,707086,7.14,4.184,CAR,1,0,0,0,13.48
2025-10-10,633556,2.89,4.6635,BIKE,0,1,1,0,8.93
2025-10-19,448951,2.8,5.955,BIKE,1,0,0,0,5.32
2025-11-19,374329,2.93,3.9309,BIKE,0,1,0,0,2.18
2025-10-12,819064,1.82,2.7936,MOPED,1,0,0,0,3.72
2025-11-28,842139,2.15,3.3454,BIKE,0,0,0,0,3.57
2025-10-24,532315,2.17,2.1807,MOPED,1,0,1,0,2.77
2025-10-16,616588,3.5,4.5745,BIKE,0,0,0,0,3.63
2025-10-09,336584,4.64,1.4159,BIKE,0,0,0,0,3.96
2025-10-13,662332,5.04,5.0946,CAR,0,0,0,0,8.11
2025-10-18,937646,3.14,5.3192,BIKE,0,0,0,0,3.81
2025-11-01,476896,3.18,0.8604,BIKE,0,0,1,0,2.15
2025-11-13,148984,4.31,5.5705,BIKE,1,0,0,0,7.53
2025-10-19,402918,1.92,5.0994,BIKE,1,0,0,1,4.37
2025-11-07,364712,6.55,3.1082,BIKE,1,0,0,0,7.53
2025-10-21,220151,7.71,2.1345,CAR,1,0,0,0,9.85
2025-11-25,555808,2.97,2.4857,CAR,1,0,0,0,4.96
2025-10-21,233767,3.32,2.5696,MOPED,1,0,0,0,4.34
2025-11-26,748663,7.55,5.6513,CAR,0,0,1,0,22.52
2025-11-18,803550,3.81,2.9169,CAR,1,0,0,0,7.1
2025-11-29,236330,5.44,4.8802,CAR,0,0,1,0,10.6
2025-11-29,580754,3.87,3.318,CAR,1,0,0,1,6.6
2025-10-06,401648,8.83,3.5564,BIKE,0,0,0,0,11.61
2025-11-24,788519,5.18,1.7971,BIKE,0,0,1,0,6.07
2025-10-02,113986,5.33,2.1768,CAR,0,0,1,0,7.86
2025-10-06,686146,5.38,5.6057,BIKE,0,0,0,0,7.73
2025-10-17,229312,3.07,3.2771,MOPED,0,0,0,1,4.16
2025-11-20,112666,3.22,3.9047,BIKE,1,0,0,0,5.65
2025-10-30,400804,5.96,6.7053,BIKE,0,0,0,0,11.09
2025-11-19,234633,4.32,3.3133,CAR,0,0,1,0,4.12
2025-11-24,388998,2.25,3.2407,BIKE,0,0,0,0,3.7
2025-10-25,728776,6.61,3.4983,MOPED,0,0,0,0,6.3
2025-11-04,807611,4.13,3.9333,CAR,0,0,0,0,8.56
2025-11-20,384806,3.54,5.0439,BIKE,0,0,0,0,5.32
2025-10-09,894824,4.48,3.4818,BIKE,0,0,1,0,9.75
2025-10-25,130535,5.25,4.6762,BIKE,0,0,0,0,7.75
2025-11-14,475713,1.47,3.3286,CAR,1,0,1,0,4.34
2025-10-03,451279,2.73,4.0855,BIKE,0,0,0,0,3.56
2025-10-26,921654,4.05,3.1887,BIKE,0,0,0,0,4.45
2025-11-07,701661,4.13,3.5826,BIKE,0,0,1,0,5.11
2025-10-22,589570,3.88,5.4117,BIKE,0,0,0,0,4.77
2025-10-24,556551,8.97,2.0759,BIKE,1,0,0,0,11.03
2025-10-21,373109,4.97,2.252,CAR,0,0,0,0,5.82
2025-10-16,124538,2.51,2.9298,CAR,0,0,0,0,3.52
2025-11-15,994498,4.34,1.6172,CAR,0,0,1,0,6.91
2025-11-05,301664,3.82,4.1566,CAR,0,0,1,0,13.08
2025-10-10,591234,2.36,3.9943,BIKE,0,0,0,0,3.57
2025-10-02,999684,4.85,2.873,BIKE,0,0,1,0,7.62
2025-11-02,239182,4.1,2.6568,MOPED,1,0,1,0,5.74
2025-10-27,572525,5.36,2.64,MOPED,0,0,0,0,3.44
2025-10-17,258338,4.47,4.3894,CAR,0,1,0,0,16.75
2025-10-11,284064,2.93,1.7784,CAR,1,0,1,0,5.53
2025-10-09,314020,5.95,2.9642,MOPED,0,0,0,0,6.68
2025-11-26,723094,2.97,1.8325,BIKE,0,0,0,0,2.01
2025-10-10,997421,0.86,4.6442,BIKE,0,0,1,0,3.41
2025-10-11,715270,4.32,3.0517,CAR,0,0,0,0,3.94
2025-10-15,745914,3.07,4.2805,MOPED,1,0,0,0,4.84
2025-10-02,219176,4.91,5.5199,CAR,0,0,1,0,10.21
2025-11-12,222409,3.73,3.9177,BIKE,0,0,0,0,6.32
2025-11-07,647707,2.68,5.274,BIKE,0,0,0,0,6.54
2025-11-01,353618,5.43,4.5231,MOPED,0,0,0,0,7.15
2025-10-05,869598,3.37,4.6894,BIKE,1,0,1,0,9.83
2025-10-18,150015,4.93,1.6248,BIKE,1,0,1,0,5.81
2025-11-15,872838,2.91,4.4978,MOPED,0,0,1,0,6.27
2025-11-06,222096,4.6,2.5329,BIKE,1,1,0,0,5.15
2025-11-17,731347,2.7,4.4707,CAR,1,0,0,0,4.35
2025-11-15,285340,7.33,4.4349,BIKE,1,0,0,0,11.87
2025-11-19,210687,3.02,4.3494,BIKE,0,0,0,0,4.4
2025-10-02,974371,5.64,3.3354,CAR,1,0,0,0,9.45
2025-11-08,511357,2.15,5.6514,MOPED,0,0,0,0,4.3
2025-10-27,835716,5.99,4.2231,BIKE,1,0,0,0,8.04
2025-10-08,205878,2.5,3.9355,CAR,0,0,0,0,5.02
2025-11-12,827270,4.62,2.3861,BIKE,0,0,0,0,3.5
2025-10-28,298286,6.76,4.0472,BIKE,1,0,0,0,10.02
2025-11-26,873290,3.67,7.1142,BIKE,1,0,0,0,9.42
2025-11-22,874684,2.42,1.9534,CAR,0,0,0,0,3.29
2025-10-28,264899,5.2,4.5791,BIKE,0,0,0,0,10.04
2025-11-22,424767,2.66,4.7943,BIKE,0,0,0,0,4.95
2025-11-25,961882,3.31,6.5207,CAR,0,0,0,0,7.46
2025-11-18,979858,4.63,4.5718,BIKE,0,0,0,0,9.51
2025-10-05,479989,8.01,3.4961,BIKE,0,0,0,0,9.28
2025-10-30,515515,4.11,4.0875,BIKE,0,0,1,0,9.51
2025-11-12,143585,4.1,3.1354,CAR,0,0,0,0,5.36
2025-10-27,471369,5.86,5.461,BIKE,0,0,1,0,8.55
2025-10-27,164044,4.16,1.816,CAR,1,0,0,0,6.18
2025-10-25,542296,5.57,2.8715,BIKE,0,0,0,0,4.98
2025-10-27,209556,6.95,4.1235,BIKE,0,0,0,0,18.42
2025-10-12,626981,3.44,5.368,CAR,1,0,0,0,7.31
2025-10-04,981691,0.79,3.4632,BIKE,0,0,0,0,1.68
2025-11-21,867595,2.69,2.5442,MOPED,0,0,1,0,5.34
2025-11-26,300235,7.42,3.207,BIKE,0,0,1,0,12.29
2025-11-24,125939,3.99,3.0145,BIKE,0,0,0,0,4.47
2025-11-03,252906,3.42,3.0703,BIKE,0,0,0,0,4.49
2025-11-19,642335,7.27,2.9332,BIKE,0,0,0,0,8.88
2025-10-24,388249,3.85,2.9337,BIKE,1,0,0,0,4.62
2025-11-05,175766,1.42,1.6784,BIKE,0,0,1,0,2.22
2025-11-27,508923,1.91,3.904,BIKE,1,0,1,0,3.11
2025-11-22,515192,5.0,4.4872,BIKE,0,1,0,1,9.93
2025-10-17,668550,3.92,6.0253,BIKE,0,0,1,0,11.29
2025-11-21,910208,2.81,4.7134,BIKE,0,0,1,1,9.6
2025-11-23,785440,3.47,3.8979,BIKE,1,0,0,0,3.97
2025-11-29,752664,2.61,1.6412,BIKE,0,0,0,0,1.11
2025-11-24,554589,3.13,3.8746,CAR,0,0,0,0,2.65
2025-11-13,237848,1.57,3.6354,CAR,0,0,1,0,4.9
2025-11-14,717075,3.34,5.1041,BIKE,0,0,1,0,9.09
2025-11-28,227948,3.95,4.3135,BIKE,1,0,1,0,9.57
2025-10-12,679304,3.79,3.3104,BIKE,1,0,0,0,5.3
2025-11-01,599046,10.14,4.7808,BIKE,0,0,0,0,22.15
2025-10-02,551269,2.79,3.9627,BIKE,0,0,0,0,3.17
2025-11-28,121959,1.46,4.1376,BIKE,0,0,1,0,3.99
2025-10-16,760890,3.86,3.5647,MOPED,0,0,0,0,5.32
2025-11-14,850216,4.9,3.5039,CAR,0,0,1,1,11.72
2025-11-24,890180,2.64,1.3372,BIKE,1,0,0,0,2.16
2025-11-29,328576,2.7,2.4058,BIKE,1,0,0,0,2.75
2025-10-27,637833,8.95,2.8104,CAR,1,0,0,0,11.74
2025-10-04,265838,3.57,4.1304,BIKE,0,0,1,0,10.46
2025-10-28,435674,5.65,1.7305,BIKE,0,1,0,0,4.04
2025-10-16,979989,2.55,2.833,CAR,1,0,0,0,3.25
2025-10-23,161087,3.94,2.6884,BIKE,1,0,1,0,6.59
2025-11-16,693128,3.43,3.6414,BIKE,1,0,0,0,5.26
2025-11-14,218451,2.89,4.1343,BIKE,0,0,0,0,4.51
2025-10-10,547600,7.23,2.6923,MOPED,1,0,1,0,8.91
2025-10-18,937437,2.02,2.7728,BIKE,0,0,0,0,2.9
2025-11-04,539792,4.71,2.6543,CAR,0,0,1,0,9.98
2025-11-22,139353,3.4,2.9867,BIKE,1,0,0,0,4.49
2025-10-04,293075,4.99,3.4134,MOPED,0,0,0,0,9.47
2025-10-21,314283,3.42,5.6495,MOPED,0,0,0,0,8.28
2025-11-27,414877,6.26,2.3077,BIKE,0,0,0,0,5.7
2025-11-28,165318,2.53,6.578,BIKE,0,0,1,0,7.14
2025-10-26,865313,7.23,2.0952,CAR,0,0,0,0,6.37
2025-10-16,582690,4.0,4.9679,CAR,0,1,0,1,19.09
2025-11-05,516880,2.09,2.8855,BIKE,0,0,0,0,3.01
2025-10-19,691460,5.7,2.41,CAR,0,0,0,0,8.22
2025-10-21,840976,3.67,5.653,BIKE,1,0,0,0,6.87
2025-11-04,881239,1.73,3.593,BIKE,0,0,1,0,3.66
2025-11-08,193264,4.79,3.5405,CAR,1,0,0,0,9.14
2025-11-22,870746,6.71,3.1242,BIKE,0,0,0,0,6.16
2025-11-06,913168,7.7,2.7643,BIKE,0,0,1,0,14.35
2025-11-26,325281,3.36,3.2501,MOPED,0,0,1,0,6.22
2025-10-21,737147,4.36,0.7022,CAR,0,0,0,0,2.75
2025-10-21,998613,4.16,1.57,MOPED,1,0,0,1,3.93
2025-10-01,452228,2.7,5.3906,CAR,1,0,1,0,9.45
2025-11-04,531839,3.21,5.7468,BIKE,0,1,0,0,6.98
2025-11-17,369536,2.67,2.3632,BIKE,1,0,0,1,4.45
2025-11-02,417824,1.96,3.7486,BIKE,0,0,1,0,3.38
2025-11-07,357426,4.59,1.3209,BIKE,0,0,0,0,2.41
2025-11-19,277789,9.03,3.0333,MOPED,0,0,1,0,15.05
2025-11-22,613153,3.67,4.738,BIKE,0,1,0,0,6.17
2025-10-09,842452,2.61,3.4582,BIKE,0,0,1,0,4.28
2025-10-31,937291,4.45,3.0571,CAR,0,0,1,1,7.96
2025-10-22,225657,5.44,3.4639,BIKE,0,0,0,0,6.27
2025-11-24,335167,3.75,5.5854,BIKE,1,0,0,0,8.65
2025-11-26,781669,8.18,3.1645,BIKE,1,0,0,0,14.51
2025-10-06,580671,2.7,3.5804,CAR,0,0,1,1,8.42
2025-11-17,819094,3.51,6.0697,BIKE,0,0,1,1,12.41
2025-11-28,170467,4.7,3.185,BIKE,0,0,0,0,5.33
2025-10-27,283734,4.94,1.743,BIKE,1,0,0,0,4.67
2025-10-23,722794,4.15,5.7566,BIKE,0,0,0,0,7.11
2025-10-30,209751,2.14,5.078,BIKE,0,0,0,0,4.31
2025-10-03,481050,13.05,1.3048,MOPED,0,0,0,0,19.47
2025-10-20,911774,3.6,3.31,BIKE,0,0,0,0,3.99
2025-11-20,792517,4.29,3.452,BIKE,0,0,0,0,3.14
2025-10-22,561079,5.52,5.7571,MOPED,0,0,1,0,15.48
2025-10-21,468452,2.95,3.4624,CAR,0,0,0,0,4.42
2025-10-15,206081,4.17,3.7104,BIKE,0,0,0,0,3.54
2025-11-18,713333,2.89,3.7545,BIKE,0,0,1,0,6.93
2025-11-27,658986,4.99,2.8969,CAR,0,0,0,0,6.54
2025-11-11,210078,3.53,5.6139,BIKE,0,0,0,0,4.24
2025-11-24,967055,4.64,2.5336,BIKE,0,0,0,0,6.92
2025-10-15,122671,2.4,2.8743,BIKE,0,0,0,0,2.91
2025-11-19,518400,2.68,3.4737,BIKE,0,0,0,0,6.27
2025-11-16,455528,2.05,1.9999,CAR,0,0,0,0,3.33
2025-10-15,710490,2.84,6.6112,BIKE,0,0,0,1,10.16
2025-10-05,151663,1.12,3.4805,BIKE,1,0,0,0,2.77
2025-11-10,115708,3.48,4.7396,CAR,0,0,1,1,10.68
2025-10-20,978338,3.1,2.3627,BIKE,0,0,0,0,3.65
2025-10-22,411955,4.37,4.5485,BIKE,0,0,0,0,6.76
2025-11-21,233883,4.15,4.6915,BIKE,0,0,0,0,7.14
2025-11-28,418394,7.6,4.9433,CAR,1,0,1,0,21.22
2025-10-28,659042,7.16,2.7906,CAR,0,0,0,0,8.34
2025-11-26,851102,3.23,3.2376,BIKE,0,0,1,1,7.6
2025-10-27,862002,3.17,2.4779,CAR,1,0,1,0,6.46
2025-10-13,242483,6.26,3.3542,CAR,1,0,0,0,14.31
2025-11-23,758271,1.75,4.4698,CAR,0,0,0,0,3.59
2025-10-14,314835,3.46,4.3821,BIKE,0,0,0,0,5.53
2025-10-10,501896,3.6,6.3318,BIKE,1,0,1,0,12.25
2025-10-10,184896,5.43,4.1917,BIKE,1,0,1,0,12.76
2025-11-28,577095,5.51,3.4824,BIKE,0,0,1,0,8.06
2025-10-19,171295,2.79,2.23,BIKE,0,1,0,0,3.4
2025-10-27,843974,3.3,4.8118,BIKE,0,0,0,0,4.08
2025-10-24,987121,5.07,3.2761,MOPED,0,0,1,0,7.67
2025-11-10,373255,2.72,4.8516,CAR,0,0,1,0,7.22
2025-11-12,399648,7.41,2.9455,BIKE,0,0,0,0,8.6
2025-10-01,757162,5.5,5.4251,BIKE,1,0,1,0,9.86
2025-10-27,108155,4.42,4.0324,CAR,0,0,0,0,6.48
2025-10-08,566872,4.93,5.0356,BIKE,0,0,0,0,7.78
2025-11-23,925816,3.21,4.0316,BIKE,1,0,1,0,7.54
2025-10-17,474705,2.96,2.3953,BIKE,0,0,0,0,2.8
2025-11-10,671542,3.28,3.0164,BIKE,1,0,0,0,6.59
2025-10-28,908350,5.21,2.0522,CAR,1,1,0,1,16.39
2025-11-13,710269,4.48,3.737,MOPED,0,0,0,0,5.09
2025-11-12,654594,3.28,1.8899,BIKE,0,0,0,0,3.05
2025-10-27,247718,5.9,3.8947,BIKE,1,0,0,0,7.33
2025-11-02,408987,3.72,0.5131,BIKE,0,0,0,0,2.34
2025-10-24,745263,2.87,4.7143,CAR,0,0,0,0,5.9
2025-10-01,458745,4.61,2.2184,CAR,1,0,0,0,7.53
2025-11-13,207512,2.44,2.3663,BIKE,0,0,1,0,5.09
2025-10-08,247443,1.74,5.7636,CAR,0,0,0,0,6.75
2025-11-14,570587,4.04,3.9329,BIKE,0,1,0,0,3.39
2025-10-02,473616,2.92,4.7771,BIKE,0,0,1,0,5.46
2025-11-16,757409,3.57,2.3148,CAR,0,0,0,0,4.57
2025-10-18,786976,2.5,4.9809,BIKE,0,1,1,1,7.39
2025-10-15,465871,7.42,3.3006,BIKE,0,0,0,0,13.38
2025-11-11,475037,2.91,3.6427,CAR,0,0,1,0,6.11
2025-11-09,907364,3.27,6.0083,BIKE,1,0,0,0,8.53
2025-10-04,217796,4.9,2.1618,BIKE,0,0,1,0,7.24
2025-11-08,391999,2.04,4.8939,BIKE,0,0,0,0,3.88
2025-10-15,292506,1.96,4.031,BIKE,0,0,1,0,4.24
2025-10-26,798376,4.91,3.2042,BIKE,1,0,1,0,9.45
2025-10-13,369544,3.25,2.2277,BIKE,0,0,1,1,5.31
2025-10-10,480002,2.58,3.19,CAR,0,0,0,0,3.04
2025-11-27,798002,5.48,2.5061,MOPED,1,0,0,0,4.25
2025-11-06,639439,2.7,5.3985,BIKE,1,0,0,0,5.54
2025-11-13,690978,3.54,3.6068,BIKE,0,0,0,0,5.67
2025-11-03,628787,2.59,2.658,CAR,1,0,1,0,5.82
2025-10-27,630583,4.72,1.9116,MOPED,1,0,0,0,5.19
2025-10-27,488215,7.89,2.9004,BIKE,1,0,1,1,17.18
2025-11-19,421184,1.6,5.4939,CAR,0,0,0,0,3.63
2025-11-14,898615,4.29,3.634,BIKE,0,0,0,0,6.33
2025-10-24,522515,6.22,3.2459,MOPED,0,0,0,0,7.04
2025-11-20,768234,3.28,6.4604,BIKE,0,0,0,0,6.49
2025-10-31,478480,2.3,2.9576,MOPED,0,0,0,0,3.56
2025-10-10,132711,5.01,2.5166,BIKE,0,0,0,0,5.9
2025-11-25,891971,6.69,4.0593,MOPED,0,0,0,0,9.6
2025-10-13,601157,6.33,4.0828,BIKE,0,0,1,0,15.03
2025-10-19,284423,4.87,2.7583,BIKE,0,0,0,1,6.85
2025-11-13,616349,4.26,2.5279,CAR,0,0,1,0,7.82
2025-11-06,803714,2.59,5.918,CAR,0,0,1,0,11.29
2025-10-03,757917,6.25,2.9358,CAR,0,1,0,0,20.58
2025-11-18,924792,6.08,1.8992,BIKE,1,0,1,0,12.61
2025-10-15,837378,2.3,3.7487,CAR,1,1,1,0,11.07
2025-10-09,233272,4.87,4.8613,MOPED,0,0,0,0,5.9
2025-11-22,867836,5.62,3.2326,BIKE,0,0,0,0,5.85
2025-10-03,802335,6.3,4.2653,BIKE,0,0,1,0,10.09
2025-10-04,907789,3.91,2.2733,CAR,0,0,0,0,6.33
2025-10-29,743409,2.64,4.4112,CAR,0,0,1,0,9.89
2025-10-29,177505,3.15,2.365,CAR,0,0,0,0,4.26
2025-10-31,102869,2.45,3.9114,CAR,0,0,0,0,4.56
2025-11-29,881474,3.95,4.6424,CAR,0,0,0,0,5.12
2025-10-22,554351,3.58,3.6164,CAR,0,0,0,0,5.7
2025-10-18,736584,6.34,2.1342,CAR,1,0,0,0,8.89
2025-10-02,718467,6.58,6.2278,CAR,0,0,0,0,12.33
2025-11-13,190272,5.13,2.5593,BIKE,1,0,0,0,6.41
2025-11-29,138467,3.37,4.638,BIKE,1,0,0,0,7.1
2025-11-04,909760,3.53,3.6437,BIKE,1,0,1,0,8.82
2025-10-12,977844,3.7,2.3161,CAR,1,0,0,0,4.51
2025-10-22,580047,4.46,2.8197,BIKE,1,0,1,0,10.09
2025-11-26,759347,4.93,6.4629,BIKE,0,0,0,0,7.41
2025-11-10,158871,4.06,11.7674,BIKE,0,1,0,1,16.14
2025-10-26,228391,3.51,3.0747,CAR,1,0,1,0,8.18
2025-10-25,539430,3.01,2.9912,CAR,0,0,0,1,4.78
2025-11-01,710704,2.02,1.7415,MOPED,1,0,0,0,2.67
2025-10-09,956703,7.7,1.732,BIKE,1,0,0,0,9.88
2025-11-07,930496,12.22,2.4654,BIKE,0,0,0,0,14.27
2025-11-28,356687,7.39,2.9216,BIKE,0,0,0,0,12.44
2025-10-10,825451,2.16,3.4476,BIKE,0,0,0,0,2.75
2025-11-04,207450,6.01,4.5126,CAR,0,0,1,0,17.76
2025-11-17,271890,6.77,3.7887,BIKE,0,0,1,0,11.22
2025-11-22,538741,3.31,4.5401,BIKE,0,0,0,0,5.62
2025-11-01,381974,5.18,2.7278,BIKE,0,0,0,0,6.08
2025-11-23,500109,3.23,3.3875,BIKE,0,0,1,0,5.69
2025-11-10,216381,8.71,3.0179,BIKE,0,0,0,0,10.67
2025-11-10,573125,4.87,2.0648,BIKE,1,0,0,1,10.84
2025-10-03,671621,2.56,1.4789,BIKE,1,0,0,0,1.95
2025-11-24,234508,5.67,2.6666,BIKE,0,0,0,0,8.32
2025-10-30,829650,6.89,1.1291,BIKE,0,0,0,1,11.49
2025-11-10,962645,4.48,2.1904,CAR,1,0,1,0,6.74
2025-11-13,499111,5.15,4.278,MOPED,0,0,0,0,4.9
2025-11-04,250810,3.92,3.7306,BIKE,0,0,1,0,7.26
2025-11-27,392890,2.3,3.5106,CAR,0,0,0,0,3.33
2025-10-05,673665,3.76,5.3863,MOPED,0,0,1,0,10.41
2025-10-30,940477,5.27,2.6019,BIKE,0,0,0,0,4.79
2025-10-01,460032,3.8,4.4991,BIKE,0,1,1,0,8.31
2025-10-09,469599,6.05,2.5179,BIKE,0,0,1,0,8.83
2025-11-27,760960,3.33,3.8707,BIKE,0,0,0,0,3.33
2025-11-18,850020,3.44,3.693,CAR,0,0,0,0,4.79
2025-10-04,979611,6.14,3.7696,BIKE,0,0,0,0,7.9
2025-11-15,271836,4.53,2.9908,CAR,0,0,1,0,6.86
2025-10-20,829903,3.3,3.9323,BIKE,0,0,1,0,7.14
2025-10-24,145714,6.8,4.0493,MOPED,1,0,0,0,13.36
